precision,word,key1,key2,speaker1,speaker2,distance,type
float64,cache cache,AB__cache cache__1,AB__cache cache__2,AB,AB,0.7653362433737028,intra
float64,cache cache,AB__cache cache__1,AB2__cache cache__1,AB,AB2,0.113770315392685,inter
float64,cache cache,AB__cache cache__1,AG__cache cache__1,AB,AG,0.11630771149805708,inter
float64,cache cache,AB__cache cache__1,AN__cache cache__1,AB,AN,0.16828859989636213,inter
float64,cache cache,AB__cache cache__1,AR__cache cache__1,AB,AR,0.23932204817218217,inter
float64,cache cache,AB__cache cache__1,CB__cache cache__1,AB,CB,0.11991667240434611,inter
float64,cache cache,AB__cache cache__1,DD__cache cache__1,AB,DD,0.7395614039016813,inter
float64,cache cache,AB__cache cache__1,KB__cache cache__1,AB,KB,0.14994729381800398,inter
float64,cache cache,AB__cache cache__1,KL__cache cache__1,AB,KL,0.22415378216557713,inter
float64,cache cache,AB__cache cache__1,KV__cache cache__1,AB,KV,0.1874898051046897,inter
float64,cache cache,AB__cache cache__1,MD__cache cache__1,AB,MD,0.5565226836572468,inter
float64,cache cache,AB__cache cache__1,MM__cache cache__1,AB,MM,0.14822938500097205,inter
float64,cache cache,AB__cache cache__1,RN__cache cache__1,AB,RN,0.7136135179602625,inter
float64,cache cache,AB__cache cache__1,SD__cache cache__1,AB,SD,0.13600389118293654,inter
float64,cache cache,AB__cache cache__1,SH__cache cache__1,AB,SH,0.6395058867049539,inter
float64,cache cache,AB__cache cache__1,SV__cache cache__1,AB,SV,0.7317799619147389,inter
float64,cache cache,AB__cache cache__1,UR__cache cache__1,AB,UR,0.44111881253899365,inter
float64,cache cache,AB__cache cache__1,UV__cache cache__1,AB,UV,0.059972274438740425,inter
float64,cache cache,AB__cache cache__1,YC__cache cache__1,AB,YC,0.14416799962043025,inter
float64,cache cache,AB__cache cache__2,AB2__cache cache__1,AB,AB2,0.6276909717896157,inter
float64,cache cache,AB__cache cache__2,AG__cache cache__1,AB,AG,0.8157756073852942,inter
float64,cache cache,AB__cache cache__2,AN__cache cache__1,AB,AN,0.7306274696385063,inter
float64,cache cache,AB__cache cache__2,AR__cache cache__1,AB,AR,0.8205583821957094,inter
float64,cache cache,AB__cache cache__2,CB__cache cache__1,AB,CB,0.8249458406665672,inter
float64,cache cache,AB__cache cache__2,DD__cache cache__1,AB,DD,0.2552248326157207,inter
float64,cache cache,AB__cache cache__2,KB__cache cache__1,AB,KB,0.7889859194883626,inter
float64,cache cache,AB__cache cache__2,KL__cache cache__1,AB,KL,0.6180769474483516,inter
float64,cache cache,AB__cache cache__2,KV__cache cache__1,AB,KV,0.8115246559863376,inter
float64,cache cache,AB__cache cache__2,MD__cache cache__1,AB,MD,0.30551483345407404,inter
float64,cache cache,AB__cache cache__2,MM__cache cache__1,AB,MM,0.7739386254415667,inter
float64,cache cache,AB__cache cache__2,RN__cache cache__1,AB,RN,0.32681690378259154,inter
float64,cache cache,AB__cache cache__2,SD__cache cache__1,AB,SD,0.6813192480801931,inter
float64,cache cache,AB__cache cache__2,SH__cache cache__1,AB,SH,0.24710138304162765,inter
float64,cache cache,AB__cache cache__2,SV__cache cache__1,AB,SV,0.2363877110551772,inter
float64,cache cache,AB__cache cache__2,UR__cache cache__1,AB,UR,0.5346503745047706,inter
float64,cache cache,AB__cache cache__2,UV__cache cache__1,AB,UV,0.7430679386375649,inter
float64,cache cache,AB__cache cache__2,YC__cache cache__1,AB,YC,0.6237409852956342,inter
float64,cache cache,AB2__cache cache__1,AG__cache cache__1,AB2,AG,0.19914918104613055,inter
float64,cache cache,AB2__cache cache__1,AN__cache cache__1,AB2,AN,0.23268963917123875,inter
float64,cache cache,AB2__cache cache__1,AR__cache cache__1,AB2,AR,0.2322659735946757,inter
float64,cache cache,AB2__cache cache__1,CB__cache cache__1,AB2,CB,0.20537865806398614,inter
float64,cache cache,AB2__cache cache__1,DD__cache cache__1,AB2,DD,0.6384691213613981,inter
float64,cache cache,AB2__cache cache__1,KB__cache cache__1,AB2,KB,0.22096187719413307,inter
float64,cache cache,AB2__cache cache__1,KL__cache cache__1,AB2,KL,0.27802790197947613,inter
float64,cache cache,AB2__cache cache__1,KV__cache cache__1,AB2,KV,0.2644720887177474,inter
float64,cache cache,AB2__cache cache__1,MD__cache cache__1,AB2,MD,0.42013133061242947,inter
