key,speaker,word,repetition,start,end,wav,elapsed,L1,age,gender,FR_level,RU_level
AB__j'en chie__1,AB,j'en chie,1,0.67,1.14,ab_rus_list1_FRcorp10.wav,0.457,ru,22,f,A1,C2
AB__sérieux__1,AB,sérieux,1,1.367,2.47,ab_rus_list1_FRcorp10.wav,0.197,ru,22,f,A1,C2
AB__cache cache__1,AB,cache cache,1,2.83,3.14,ab_rus_list1_FRcorp10.wav,0.11,ru,22,f,A1,C2
AB__hier__1,AB,hier,1,3.14,3.55,ab_rus_list1_FRcorp10.wav,0.108,ru,22,f,A1,C2
AB__j'en chie__1,AB,j'en chie,1,0.83,1.22,ab_rus_list1_FRcorp11.wav,0.105,ru,22,f,A1,C2
AB__sérieux__1,AB,sérieux,1,1.51,1.71,ab_rus_list1_FRcorp11.wav,0.088,ru,22,f,A1,C2
AB__cache cache__1,AB,cache cache,1,1.71,2.15,ab_rus_list1_FRcorp11.wav,0.11,ru,22,f,A1,C2
AB__hier__1,AB,hier,1,2.51,2.83,ab_rus_list1_FRcorp11.wav,0.109,ru,22,f,A1,C2
AB__divan__1,AB,divan,1,2.83,3.23,ab_rus_list1_FRcorp11.wav,0.109,ru,22,f,A1,C2
AB__j'en chie__1,AB,j'en chie,1,0.65,1.01,ab_rus_list1_FRcorp12.wav,0.098,ru,22,f,A1,C2
AB__sérieux__1,AB,sérieux,1,1.082,1.79,ab_rus_list1_FRcorp12.wav,0.138,ru,22,f,A1,C2
AB__cache cache__1,AB,cache cache,1,2.04,2.36,ab_rus_list1_FRcorp12.wav,0.099,ru,22,f,A1,C2
AB__hier__1,AB,hier,1,2.36,2.76,ab_rus_list1_FRcorp12.wav,0.108,ru,22,f,A1,C2
AB__j'en chie__1,AB,j'en chie,1,0.67,1.05,ab_rus_list1_FRcorp13.wav,0.108,ru,22,f,A1,C2
AB__sérieux__1,AB,sérieux,1,1.1314,1.73,ab_rus_list1_FRcorp13.wav,0.128,ru,22,f,A1,C2
AB__cache cache__1,AB,cache cache,1,2.06,2.39,ab_rus_list1_FRcorp13.wav,0.101,ru,22,f,A1,C2
AB__hier__1,AB,hier,1,2.39,2.77,ab_rus_list1_FRcorp13.wav,0.103,ru,22,f,A1,C2
AB__j'en chie__1,AB,j'en chie,1,0.58,0.93,ab_rus_list1_FRcorp14.wav,0.103,ru,22,f,A1,C2
AB__sérieux__1,AB,sérieux,1,1.04,1.43,ab_rus_list1_FRcorp14.wav,0.103,ru,22,f,A1,C2
AB__cache cache__1,AB,cache cache,1,1.43,1.93,ab_rus_list1_FRcorp14.wav,0.112,ru,22,f,A1,C2
AB__hier__1,AB,hier,1,2.24,2.54,ab_rus_list1_FRcorp14.wav,0.102,ru,22,f,A1,C2
AB__divan__1,AB,divan,1,2.54,2.94,ab_rus_list1_FRcorp14.wav,0.101,ru,22,f,A1,C2
AB__j'en chie__1,AB,j'en chie,1,0.61,0.97,ab_rus_list1_FRcorp15.wav,0.099,ru,22,f,A1,C2
